sample_id,file_path,file_name,folder_name,family,mixture_order,has_mba,has_thiram,has_mg,c_mba,c_thiram,c_mg,has_agnps,role_mba,group_id,parser_version,parse_note,fold_id
S0018,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_7.csv,SP_7.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0019,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_8.csv,SP_8.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0020,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_9.csv,SP_9.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0021,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_51.csv,SP_51.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0022,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_52.csv,SP_52.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0023,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_53.csv,SP_53.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0024,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_54.csv,SP_54.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0025,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_55.csv,SP_55.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0026,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_57.csv,SP_57.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0027,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_58.csv,SP_58.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0028,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_59.csv,SP_59.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0029,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_60.csv,SP_60.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0030,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_61.csv,SP_61.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0031,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_62.csv,SP_62.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0032,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_63.csv,SP_63.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0033,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_64.csv,SP_64.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0034,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_65.csv,SP_65.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0035,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_66.csv,SP_66.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0036,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_67.csv,SP_67.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0037,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_68.csv,SP_68.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0038,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_69.csv,SP_69.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0039,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_70.csv,SP_70.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0040,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.5\SP_71.csv,SP_71.csv,mba+银+0.5,single,1,True,False,False,5,0,0,True,probe/reference,mba+银+0.5,v1.0,,0
S0041,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_10.csv,SP_10.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0042,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_11.csv,SP_11.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0043,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_12.csv,SP_12.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0044,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_13.csv,SP_13.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0045,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_14.csv,SP_14.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0046,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_15.csv,SP_15.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0047,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_16.csv,SP_16.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0048,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_18.csv,SP_18.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0049,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_19.csv,SP_19.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0050,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_22.csv,SP_22.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0051,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_23.csv,SP_23.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0052,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_24.csv,SP_24.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0053,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_25.csv,SP_25.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0054,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_26.csv,SP_26.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0055,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_3.csv,SP_3.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0056,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_4.csv,SP_4.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0057,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_5.csv,SP_5.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0058,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_6.csv,SP_6.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0059,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_7.csv,SP_7.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0060,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_8.csv,SP_8.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0061,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.6\SP_9.csv,SP_9.csv,mba+银+0.6,single,1,True,False,False,6,0,0,True,probe/reference,mba+银+0.6,v1.0,,2
S0062,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_1.csv,SP_1.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0063,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_10.csv,SP_10.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0064,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_11.csv,SP_11.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0065,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_12.csv,SP_12.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0066,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_18.csv,SP_18.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0067,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_19.csv,SP_19.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0068,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_2.csv,SP_2.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0069,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_20.csv,SP_20.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0070,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_21.csv,SP_21.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0071,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_22.csv,SP_22.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0072,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_23.csv,SP_23.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0073,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_24.csv,SP_24.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0074,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_25.csv,SP_25.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0075,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_26.csv,SP_26.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0076,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_3.csv,SP_3.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0077,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_4.csv,SP_4.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0078,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_5.csv,SP_5.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0079,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_6.csv,SP_6.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0080,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_7.csv,SP_7.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0081,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_8.csv,SP_8.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0082,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.4\SP_9.csv,SP_9.csv,孔+银+0.4,single,1,False,False,True,0,0,4,True,probe/reference,孔+银+0.4,v1.0,,4
S0083,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_28.csv,SP_28.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0084,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_29.csv,SP_29.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0085,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_30.csv,SP_30.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0086,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_31.csv,SP_31.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0087,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_32.csv,SP_32.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0088,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_33.csv,SP_33.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0089,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_34.csv,SP_34.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0090,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_35.csv,SP_35.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0091,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_36.csv,SP_36.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0092,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_37.csv,SP_37.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0093,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_38.csv,SP_38.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0094,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_39.csv,SP_39.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0095,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_40.csv,SP_40.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0096,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_41.csv,SP_41.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0097,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_42.csv,SP_42.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0098,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_43.csv,SP_43.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0099,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_47.csv,SP_47.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0100,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_49.csv,SP_49.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0101,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_52.csv,SP_52.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0102,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_53.csv,SP_53.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0103,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_54.csv,SP_54.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0104,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_55.csv,SP_55.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0105,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_56.csv,SP_56.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0106,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_57.csv,SP_57.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0107,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_58.csv,SP_58.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0108,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_59.csv,SP_59.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0109,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.5\SP_60.csv,SP_60.csv,孔+银+0.5,single,1,False,False,True,0,0,5,True,probe/reference,孔+银+0.5,v1.0,,4
S0110,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_21.csv,SP_21.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
S0111,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_22.csv,SP_22.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
S0112,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_23.csv,SP_23.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
S0113,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_24.csv,SP_24.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
S0114,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_28.csv,SP_28.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
S0115,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_29.csv,SP_29.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
S0116,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_30.csv,SP_30.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
S0117,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_31.csv,SP_31.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
S0118,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_32.csv,SP_32.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
S0119,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_33.csv,SP_33.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
S0120,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_34.csv,SP_34.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
S0121,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_35.csv,SP_35.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
S0122,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\孔+银+0.6\SP_37.csv,SP_37.csv,孔+银+0.6,single,1,False,False,True,0,0,6,True,probe/reference,孔+银+0.6,v1.0,,4
