file_path,file_name,folder_name,c_thiram,c_mg,c_mba,has_thiram,has_mg,has_mba,mixture_order,family,sample_id,group_id,fold_id
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_63.csv,SP_63.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0024,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_65.csv,SP_65.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0025,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_67.csv,SP_67.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0026,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_68.csv,SP_68.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0027,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_69.csv,SP_69.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0028,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_70.csv,SP_70.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0029,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_71.csv,SP_71.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0030,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_72.csv,SP_72.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0031,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_73.csv,SP_73.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0032,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_74.csv,SP_74.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0033,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_75.csv,SP_75.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0034,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_76.csv,SP_76.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0035,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m5\SP_77.csv,SP_77.csv,K4m5,0,4,5,False,True,True,2,binary_MG_MBA,S0036,K4m5,2
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m5\SP_78.csv,SP_78.csv,K4m5,0,4,5,False,True,True,2,binary_MG_MBA,S0037,K4m5,2
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m5\SP_79.csv,SP_79.csv,K4m5,0,4,5,False,True,True,2,binary_MG_MBA,S0038,K4m5,2
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m5\SP_80.csv,SP_80.csv,K4m5,0,4,5,False,True,True,2,binary_MG_MBA,S0039,K4m5,2
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m5\SP_81.csv,SP_81.csv,K4m5,0,4,5,False,True,True,2,binary_MG_MBA,S0040,K4m5,2
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m5\SP_82.csv,SP_82.csv,K4m5,0,4,5,False,True,True,2,binary_MG_MBA,S0041,K4m5,2
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m5\SP_83.csv,SP_83.csv,K4m5,0,4,5,False,True,True,2,binary_MG_MBA,S0042,K4m5,2
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m5\SP_84.csv,SP_84.csv,K4m5,0,4,5,False,True,True,2,binary_MG_MBA,S0043,K4m5,2
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m5\SP_85.csv,SP_85.csv,K4m5,0,4,5,False,True,True,2,binary_MG_MBA,S0044,K4m5,2
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m5\SP_86.csv,SP_86.csv,K4m5,0,4,5,False,True,True,2,binary_MG_MBA,S0045,K4m5,2
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m5\SP_87.csv,SP_87.csv,K4m5,0,4,5,False,True,True,2,binary_MG_MBA,S0046,K4m5,2
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m5\SP_88.csv,SP_88.csv,K4m5,0,4,5,False,True,True,2,binary_MG_MBA,S0047,K4m5,2
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_100.csv,SP_100.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0048,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_101.csv,SP_101.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0049,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_102.csv,SP_102.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0050,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_89.csv,SP_89.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0051,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_90.csv,SP_90.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0052,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_91.csv,SP_91.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0053,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_92.csv,SP_92.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0054,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_93.csv,SP_93.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0055,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_94.csv,SP_94.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0056,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_95.csv,SP_95.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0057,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_96.csv,SP_96.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0058,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_97.csv,SP_97.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0059,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_98.csv,SP_98.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0060,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m6\SP_99.csv,SP_99.csv,K4m6,0,4,6,False,True,True,2,binary_MG_MBA,S0061,K4m6,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_28.csv,SP_28.csv,K5,0,5,0,False,True,False,1,single,S0062,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_29.csv,SP_29.csv,K5,0,5,0,False,True,False,1,single,S0063,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_30.csv,SP_30.csv,K5,0,5,0,False,True,False,1,single,S0064,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_31.csv,SP_31.csv,K5,0,5,0,False,True,False,1,single,S0065,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_32.csv,SP_32.csv,K5,0,5,0,False,True,False,1,single,S0066,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_33.csv,SP_33.csv,K5,0,5,0,False,True,False,1,single,S0067,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_34.csv,SP_34.csv,K5,0,5,0,False,True,False,1,single,S0068,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_35.csv,SP_35.csv,K5,0,5,0,False,True,False,1,single,S0069,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_36.csv,SP_36.csv,K5,0,5,0,False,True,False,1,single,S0070,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_37.csv,SP_37.csv,K5,0,5,0,False,True,False,1,single,S0071,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_38.csv,SP_38.csv,K5,0,5,0,False,True,False,1,single,S0072,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_39.csv,SP_39.csv,K5,0,5,0,False,True,False,1,single,S0073,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_40.csv,SP_40.csv,K5,0,5,0,False,True,False,1,single,S0074,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_41.csv,SP_41.csv,K5,0,5,0,False,True,False,1,single,S0075,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_42.csv,SP_42.csv,K5,0,5,0,False,True,False,1,single,S0076,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_43.csv,SP_43.csv,K5,0,5,0,False,True,False,1,single,S0077,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_47.csv,SP_47.csv,K5,0,5,0,False,True,False,1,single,S0078,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_49.csv,SP_49.csv,K5,0,5,0,False,True,False,1,single,S0079,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_52.csv,SP_52.csv,K5,0,5,0,False,True,False,1,single,S0080,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_53.csv,SP_53.csv,K5,0,5,0,False,True,False,1,single,S0081,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_54.csv,SP_54.csv,K5,0,5,0,False,True,False,1,single,S0082,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_55.csv,SP_55.csv,K5,0,5,0,False,True,False,1,single,S0083,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_56.csv,SP_56.csv,K5,0,5,0,False,True,False,1,single,S0084,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_57.csv,SP_57.csv,K5,0,5,0,False,True,False,1,single,S0085,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_58.csv,SP_58.csv,K5,0,5,0,False,True,False,1,single,S0086,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_59.csv,SP_59.csv,K5,0,5,0,False,True,False,1,single,S0087,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5\SP_60.csv,SP_60.csv,K5,0,5,0,False,True,False,1,single,S0088,K5,0
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_100.csv,SP_100.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0089,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_86.csv,SP_86.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0090,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_87.csv,SP_87.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0091,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_88.csv,SP_88.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0092,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_89.csv,SP_89.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0093,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_91.csv,SP_91.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0094,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_92.csv,SP_92.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0095,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_93.csv,SP_93.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0096,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_94.csv,SP_94.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0097,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_95.csv,SP_95.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0098,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_96.csv,SP_96.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0099,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_97.csv,SP_97.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0100,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_98.csv,SP_98.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0101,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m4\SP_99.csv,SP_99.csv,K5m4,0,5,4,False,True,True,2,binary_MG_MBA,S0102,K5m4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_101.csv,SP_101.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0103,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_102.csv,SP_102.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0104,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_103.csv,SP_103.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0105,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_104.csv,SP_104.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0106,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_105.csv,SP_105.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0107,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_106.csv,SP_106.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0108,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_107.csv,SP_107.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0109,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_108.csv,SP_108.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0110,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_109.csv,SP_109.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0111,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_110.csv,SP_110.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0112,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_111.csv,SP_111.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0113,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_112.csv,SP_112.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0114,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_113.csv,SP_113.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0115,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m5\SP_114.csv,SP_114.csv,K5m5,0,5,5,False,True,True,2,binary_MG_MBA,S0116,K5m5,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_115.csv,SP_115.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0117,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_116.csv,SP_116.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0118,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_117.csv,SP_117.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0119,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_118.csv,SP_118.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0120,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_119.csv,SP_119.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0121,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_120.csv,SP_120.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0122,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_121.csv,SP_121.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0123,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_122.csv,SP_122.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0124,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_123.csv,SP_123.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0125,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_124.csv,SP_124.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0126,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_125.csv,SP_125.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0127,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_126.csv,SP_126.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0128,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_127.csv,SP_127.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0129,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_128.csv,SP_128.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0130,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_129.csv,SP_129.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0131,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K5m6\SP_130.csv,SP_130.csv,K5m6,0,5,6,False,True,True,2,binary_MG_MBA,S0132,K5m6,4
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_21.csv,SP_21.csv,K6,0,6,0,False,True,False,1,single,S0133,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_22.csv,SP_22.csv,K6,0,6,0,False,True,False,1,single,S0134,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_23.csv,SP_23.csv,K6,0,6,0,False,True,False,1,single,S0135,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_24.csv,SP_24.csv,K6,0,6,0,False,True,False,1,single,S0136,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_28.csv,SP_28.csv,K6,0,6,0,False,True,False,1,single,S0137,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_29.csv,SP_29.csv,K6,0,6,0,False,True,False,1,single,S0138,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_30.csv,SP_30.csv,K6,0,6,0,False,True,False,1,single,S0139,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_31.csv,SP_31.csv,K6,0,6,0,False,True,False,1,single,S0140,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_32.csv,SP_32.csv,K6,0,6,0,False,True,False,1,single,S0141,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_33.csv,SP_33.csv,K6,0,6,0,False,True,False,1,single,S0142,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_34.csv,SP_34.csv,K6,0,6,0,False,True,False,1,single,S0143,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_35.csv,SP_35.csv,K6,0,6,0,False,True,False,1,single,S0144,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_37.csv,SP_37.csv,K6,0,6,0,False,True,False,1,single,S0145,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_38.csv,SP_38.csv,K6,0,6,0,False,True,False,1,single,S0146,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_42.csv,SP_42.csv,K6,0,6,0,False,True,False,1,single,S0147,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_43.csv,SP_43.csv,K6,0,6,0,False,True,False,1,single,S0148,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_45.csv,SP_45.csv,K6,0,6,0,False,True,False,1,single,S0149,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_48.csv,SP_48.csv,K6,0,6,0,False,True,False,1,single,S0150,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_49.csv,SP_49.csv,K6,0,6,0,False,True,False,1,single,S0151,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6\SP_50.csv,SP_50.csv,K6,0,6,0,False,True,False,1,single,S0152,K6,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6m4\SP_131.csv,SP_131.csv,K6m4,0,6,4,False,True,True,2,binary_MG_MBA,S0153,K6m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K6m4\SP_132.csv,SP_132.csv,K6m4,0,6,4,False,True,True,2,binary_MG_MBA,S0154,K6m4,3
